t,a
9.52,0.41961
9.54,0.37032
9.56,-0.19586
9.58,-0.49233
9.6,-0.81455
9.62,-0.99857
9.64,0.51946
9.66,1.17315
9.68,0.13721
9.7,-0.90648
9.72,-1.55954
9.74,-0.92289
9.76,0.82535
9.78,1.73115
9.8,-0.11366
9.82,-2.27667
9.84,-2.25762
9.86,-1.29025
9.88,0.04394
9.9,0.57332
9.92,-0.02337
9.94,0.07379
9.96,0.55399
9.98,0.46714
10,0.15123
10.02,-0.08183
10.04,-0.21766
10.06,-0.33016
10.08,-0.54047
10.1,-0.52663
10.12,-0.40376
10.14,-0.31642
10.16,-0.65303
10.18,-0.77741
10.2,0.03773
10.22,0.52217
10.24,0.09278
10.26,-0.23394
10.28,-0.09378
10.3,0.11036
10.32,0.3316
10.34,0.44605
10.36,0.4976
10.38,0.61083
10.4,0.88938
10.42,0.44567
10.44,-0.50005
10.46,-0.90495
10.48,-0.87275
10.5,-0.32647
10.52,0.06977
10.54,0.36914
10.56,0.60461
10.58,0.31168
10.6,0.09312
10.62,0.02759
10.64,0.00808
10.66,-0.1175
10.68,-0.55197
10.7,-0.61932
10.72,0.10689
10.74,0.75652
10.76,0.61348
10.78,0.28159
10.8,0.24089
10.82,0.07478
10.84,-0.13714
10.86,-0.06896
10.88,0.10231
10.9,0.11405
10.92,0.08292
10.94,0.10794
10.96,0.12401
10.98,0.08208
11,-0.00734
11.02,-0.01411
11.04,-0.07358
11.06,-0.08158
11.08,0.00122
11.1,0.18847
11.12,0.23747
11.14,0.09329
11.16,-0.03225
11.18,-0.08082
11.2,-0.03496
11.22,0.06824
11.24,0.10035
11.26,-0.02656
11.28,-0.12892
11.3,-0.10195
11.32,-0.02386
11.34,-0.10286
11.36,-0.15914
11.38,-0.03672
11.4,0.26557
11.42,0.35272
11.44,0.32272
11.46,0.38328
11.48,0.47681
11.5,0.22365
11.52,-0.11792
11.54,-0.13383
11.56,0.05299
11.58,0.1951
11.6,0.07601
11.62,-0.01189
11.64,-0.02753
11.66,0.04489
11.68,0.09078
11.7,0.13625
11.72,0.15838
11.74,0.16069
11.76,0.14903
11.78,0.09824
11.8,0.00222
11.82,-0.06628
11.84,-0.09112
11.86,-0.12538
11.88,-0.20726
11.9,-0.16128
11.92,-0.02271
11.94,0.0568
11.96,0.04652
11.98,-0.17448
12,-0.30681
12.02,-0.31117
12.04,-0.29115
12.06,-0.28435
12.08,-0.2027
12.1,-0.18973
12.12,-0.25434
12.14,-0.23836
12.16,-0.24997
12.18,-0.29303
12.2,-0.21058
12.22,-0.04576
12.24,0.0117
12.26,-0.00781
12.28,0.00459
12.3,0.01158
12.32,-0.04567
12.34,-0.09029
12.36,-0.07444
12.38,-0.0331
12.4,-0.06833
12.42,-0.13923
12.44,-0.22979
12.46,-0.1958
12.48,0.01488
12.5,0.16422
12.52,0.17766
12.54,0.11908
12.56,0.02634
12.58,-0.07699
12.6,-0.09145
12.62,-0.03157
12.64,-0.01399
12.66,-0.1073
12.68,-0.27485
12.7,-0.29765
12.72,-0.19602
12.74,-0.15222
12.76,-0.10537
12.78,-0.07709
12.8,-0.09345
12.82,-0.03452
12.84,0.14075
12.86,0.31994
12.88,0.33727
12.9,0.28429
12.92,0.21349
12.94,0.10671
12.96,-0.01007
12.98,-0.05178
13,0.02725
13.02,0.12939
13.04,0.15667
13.06,0.08291
13.08,-0.00653
13.1,-0.04307
13.12,-0.07364
13.14,-0.1076
13.16,-0.09264
13.18,-0.08971
13.2,-0.08109
13.22,-0.06682
13.24,-0.06163
13.26,-0.10342
13.28,-0.13225
13.3,-0.00521
13.32,0.13865
13.34,0.16196
13.36,0.10293
13.38,0.05158
13.4,0.07734
13.42,0.21062
13.44,0.28061
13.46,0.17528
13.48,0.01367
13.5,-0.03639
13.52,0.0869
13.54,0.19613
13.56,0.18869
13.58,0.1875
13.6,0.17506
13.62,0.18772
13.64,0.30652
13.66,0.36009
13.68,0.361
13.7,0.37796
13.72,0.40891
13.74,0.44097
13.76,0.47707
13.78,0.41287
13.8,0.27392
13.82,0.1674
13.84,0.32209
13.86,0.53845
13.88,0.54577
13.9,0.45148
13.92,0.36854
13.94,0.3729
13.96,0.32052
13.98,0.28013
14,0.20779
14.02,0.1011
14.04,-0.00529
14.06,-0.09008
14.08,-0.12475
14.1,-0.15819
14.12,-0.19035
14.14,-0.25827
14.16,-0.32163
14.18,-0.31898
14.2,-0.29884
14.22,-0.34152
14.24,-0.41184
14.26,-0.39522
14.28,-0.31755
14.3,-0.2896
14.32,-0.35631
14.34,-0.41907
14.36,-0.42385
14.38,-0.37295
14.4,-0.32483
14.42,-0.24982
14.44,-0.16055
14.46,-0.10713
14.48,-0.12519
14.5,-0.17701
14.52,-0.21541
14.54,-0.25064
14.56,-0.20747
14.58,-0.19395
14.6,-0.25277
14.62,-0.35309
14.64,-0.38525
14.66,-0.26752
14.68,-0.1
14.7,0.00673
14.72,0.02482
14.74,-0.0602
14.76,-0.16539
14.78,-0.21264
14.8,-0.1749
14.82,-0.14934
14.84,-0.20865
14.86,-0.287
14.88,-0.29474
14.9,-0.2748
14.92,-0.23792
14.94,-0.16127
14.96,-0.08163
14.98,-0.04656
15,-0.05393
15.02,-0.07759
15.04,-0.05516
15.06,0.01066
15.08,0.0789
15.1,0.09999
15.12,0.04288
15.14,0.04663
15.16,0.15649
15.18,0.30036
15.2,0.34189
15.22,0.25874
15.24,0.11947
15.26,0.01825
15.28,-0.06346
15.3,-0.07704
15.32,0.0108
15.34,0.10949
15.36,0.16141
15.38,0.15839
15.4,0.13947
15.42,0.1348
15.44,0.13434
15.46,0.1412
15.48,0.16719
15.5,0.1798
15.52,0.20136
15.54,0.26268
15.56,0.33439
15.58,0.30467
15.6,0.17678
15.62,0.07794
15.64,0.04967
15.66,0.0762
15.68,0.10597
15.7,0.10403
15.72,0.13791
15.74,0.15288
15.76,0.15201
15.78,0.15391
15.8,0.12044
15.82,0.06999
15.84,0.06401
15.86,0.11104
15.88,0.16809
15.9,0.18792
15.92,0.18416
15.94,0.19982
15.96,0.25466
15.98,0.28391
16,0.15629
16.02,-0.06885
16.04,-0.18664
16.06,-0.16787
16.08,-0.12795
16.1,-0.10983
16.12,-0.08343
16.14,-0.04976
16.16,-0.04948
16.18,-0.05812
16.2,-0.0451
16.22,0.002
16.24,0.03624
16.26,0.0186
16.28,-0.02811
16.3,-0.05588
16.32,-0.02267
16.34,0.03635
16.36,0.01745
16.38,-0.03145
16.4,-0.08434
16.42,-0.12064
16.44,-0.1128
16.46,-0.08303
16.48,-0.04557
16.5,-0.04218
16.52,-0.08059
16.54,-0.13685
16.56,-0.194
16.58,-0.20976
16.6,-0.22719
16.62,-0.26687
16.64,-0.29622
16.66,-0.30376
16.68,-0.27735
16.7,-0.30012
16.72,-0.33606
16.74,-0.30525
